school_name,state,composite_score,score_change_1y,z_score,anomaly_type,narrative,detected_at
Brookside Magnet School,VT,73.7,-9.3,-3.05,decline,Brookside Magnet School in VT experienced a 9.3-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-21T23:12:38.028607
Lincoln Junior High School,MI,29.7,16.1,2.54,improvement,"Lincoln Junior High School in MI showed a remarkable 16.1-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-23T23:12:38.028607
Meadow Charter School,OR,68.4,12.8,3.0,improvement,"Meadow Charter School in OR showed a remarkable 12.8-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-22T23:12:38.028607
Oakwood Elementary School,MI,56.6,-17.5,-2.37,decline,Oakwood Elementary School in MI experienced a 17.5-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-21T23:12:38.028607
Magnolia Preparatory School,NH,55.6,8.7,2.62,improvement,"Magnolia Preparatory School in NH showed a remarkable 8.7-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-23T23:12:38.028607
Spring Primary School,DE,71.0,-17.4,-2.39,decline,Spring Primary School in DE experienced a 17.4-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-21T23:12:38.028607
Sunset Middle School,WV,75.9,8.3,3.89,improvement,"Sunset Middle School in WV showed a remarkable 8.3-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-26T23:12:38.028607
Sunset High School,AK,81.2,-10.5,-2.6,decline,Sunset High School in AK experienced a 10.5-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-18T23:12:38.028607
Monroe Magnet School,GA,49.3,-14.8,-2.1,decline,Monroe Magnet School in GA experienced a 14.8-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-24T23:12:38.028607
Roosevelt Academy,MA,82.2,17.1,2.45,improvement,"Roosevelt Academy in MA showed a remarkable 17.1-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-16T23:12:38.028607
Grant Elementary,NE,55.9,-9.4,-4.2,decline,Grant Elementary in NE experienced a 9.4-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-16T23:12:38.028607
Magnolia Magnet School,AK,66.2,8.8,2.23,improvement,"Magnolia Magnet School in AK showed a remarkable 8.8-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-17T23:12:38.028607
Greenfield Elementary,MA,64.5,-9.6,-4.09,decline,Greenfield Elementary in MA experienced a 9.6-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-24T23:12:38.028607
Adams Elementary,WI,66.0,-8.0,-3.82,decline,Adams Elementary in WI experienced a 8.0-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-16T23:12:38.028607
Discovery Elementary,ND,56.5,-5.6,-4.14,decline,Discovery Elementary in ND experienced a 5.6-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-17T23:12:38.028607
Hawthorne Primary School,TN,51.6,11.3,3.44,improvement,"Hawthorne Primary School in TN showed a remarkable 11.3-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-21T23:12:38.028607
Excellence Academy,OH,45.6,10.5,3.51,improvement,"Excellence Academy in OH showed a remarkable 10.5-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-17T23:12:38.028607
Madison Academy,WI,67.6,-10.0,-4.44,decline,Madison Academy in WI experienced a 10.0-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-22T23:12:38.028607
Lakeview Junior High School,AL,51.6,-10.8,-2.58,decline,Lakeview Junior High School in AL experienced a 10.8-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-17T23:12:38.028607
Meadow Junior High School,OR,75.4,16.6,3.66,improvement,"Meadow Junior High School in OR showed a remarkable 16.6-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-25T23:12:38.028607
Achievement Elementary School,AR,45.5,8.1,2.86,improvement,"Achievement Elementary School in AR showed a remarkable 8.1-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-15T23:12:38.028607
Fairview Elementary School,IL,80.1,-17.7,-3.35,decline,Fairview Elementary School in IL experienced a 17.7-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-20T23:12:38.028607
Oakwood High School,IA,56.4,12.8,4.31,improvement,"Oakwood High School in IA showed a remarkable 12.8-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-18T23:12:38.028607
Wilson Academy,MD,73.9,6.6,2.73,improvement,"Wilson Academy in MD showed a remarkable 6.6-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-19T23:12:38.028607
Hamilton Junior High School,UT,55.7,-9.7,-4.42,decline,Hamilton Junior High School in UT experienced a 9.7-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-20T23:12:38.028607
Riverside Magnet School,TX,25.5,-5.5,-4.23,decline,Riverside Magnet School in TX experienced a 5.5-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-16T23:12:38.028607
Pine Primary School,WA,66.4,18.5,4.01,improvement,"Pine Primary School in WA showed a remarkable 18.5-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-21T23:12:38.028607
Brookside Elementary School,SC,36.4,-17.0,-3.65,decline,Brookside Elementary School in SC experienced a 17.0-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-19T23:12:38.028607
Whitman Primary School,KS,44.6,-13.6,-4.38,decline,Whitman Primary School in KS experienced a 13.6-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-28T23:12:38.028607
Kennedy Primary School,VA,93.9,-11.9,-2.8,decline,Kennedy Primary School in VA experienced a 11.9-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-26T23:12:38.028607
Westside Middle School,NJ,87.5,-16.4,-2.62,decline,Westside Middle School in NJ experienced a 16.4-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-28T23:12:38.028607
Ridgewood Magnet School,PA,68.9,17.9,2.66,improvement,"Ridgewood Magnet School in PA showed a remarkable 17.9-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-22T23:12:38.028607
Innovation High School,RI,44.8,-18.7,-3.12,decline,Innovation High School in RI experienced a 18.7-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-27T23:12:38.028607
Hawthorne Charter School,LA,66.0,-12.2,-2.82,decline,Hawthorne Charter School in LA experienced a 12.2-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-27T23:12:38.028607
Madison Elementary School,IN,61.0,7.2,3.38,improvement,"Madison Elementary School in IN showed a remarkable 7.2-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-17T23:12:38.028607
Wilson Junior High School,OK,59.2,12.4,2.42,improvement,"Wilson Junior High School in OK showed a remarkable 12.4-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-21T23:12:38.028607
Emerson Preparatory School,MN,53.4,-7.5,-4.28,decline,Emerson Preparatory School in MN experienced a 7.5-point decline in composite score. Key contributing factors include decreased environment and safety scores. Immediate attention is recommended.,2026-03-20T23:12:38.028607
Liberty Junior High School,AR,46.2,11.1,3.56,improvement,"Liberty Junior High School in AR showed a remarkable 11.1-point improvement in composite score, driven primarily by gains in education and health metrics. This improvement stands out significantly from peer schools.",2026-03-19T23:12:38.028607
