fips,county_name,state,brief,generated_at
06004,Marshall County,CA,"## Marshall County, California

**Overall Score: 46.2/100 (At Risk)**

Marshall County faces notable challenges that require coordinated intervention. With a population of 71,556 and 54 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 52.7/100
- Health & resource access: 46.4/100
- Environmental quality: 45.0/100
- Safety index: 40.5/100

**Year-over-Year Change:** -3.6 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-29T23:12:38.028607
08001,Lawrence County,CO,"## Lawrence County, Colorado

**Overall Score: 66.1/100 (Moderate)**

Lawrence County shows solid fundamentals with room for targeted improvement. With a population of 924,964 and 12 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 69.4/100
- Health & resource access: 58.7/100
- Environmental quality: 65.9/100
- Safety index: 69.2/100

**Year-over-Year Change:** +4.1 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-22T23:12:38.028607
08002,Morgan County,CO,"## Morgan County, Colorado

**Overall Score: 54.7/100 (Moderate)**

Morgan County shows solid fundamentals with room for targeted improvement. With a population of 897,921 and 33 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 53.9/100
- Health & resource access: 71.7/100
- Environmental quality: 55.6/100
- Safety index: 70.4/100

**Year-over-Year Change:** -1.0 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-28T23:12:38.028607
08003,Perry County,CO,"## Perry County, Colorado

**Overall Score: 62.2/100 (Moderate)**

Perry County shows solid fundamentals with room for targeted improvement. With a population of 830,157 and 61 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 70.1/100
- Health & resource access: 69.3/100
- Environmental quality: 66.4/100
- Safety index: 67.7/100

**Year-over-Year Change:** +0.2 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-23T23:12:38.028607
08004,Pike County,CO,"## Pike County, Colorado

**Overall Score: 56.0/100 (Moderate)**

Pike County shows solid fundamentals with room for targeted improvement. With a population of 69,324 and 77 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 42.1/100
- Health & resource access: 47.9/100
- Environmental quality: 48.2/100
- Safety index: 57.8/100

**Year-over-Year Change:** +2.8 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
09001,Shelby County,CT,"## Shelby County, Connecticut

**Overall Score: 60.3/100 (Moderate)**

Shelby County shows solid fundamentals with room for targeted improvement. With a population of 540,496 and 13 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 62.6/100
- Health & resource access: 36.0/100
- Environmental quality: 64.2/100
- Safety index: 57.9/100

**Year-over-Year Change:** +0.3 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
09002,Sullivan County,CT,"## Sullivan County, Connecticut

**Overall Score: 87.4/100 (Thriving)**

Sullivan County continues to demonstrate strong outcomes across all pillars. With a population of 49,672 and 13 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 93.9/100
- Health & resource access: 65.7/100
- Environmental quality: 100.0/100
- Safety index: 79.0/100

**Year-over-Year Change:** -1.5 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-28T23:12:38.028607
09003,Wayne County,CT,"## Wayne County, Connecticut

**Overall Score: 29.6/100 (At Risk)**

Wayne County faces notable challenges that require coordinated intervention. With a population of 712,318 and 41 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 27.0/100
- Health & resource access: 32.1/100
- Environmental quality: 44.3/100
- Safety index: 30.1/100

**Year-over-Year Change:** +4.0 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-25T23:12:38.028607
09004,Lake County,CT,"## Lake County, Connecticut

**Overall Score: 63.8/100 (Moderate)**

Lake County shows solid fundamentals with room for targeted improvement. With a population of 538,458 and 36 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 63.3/100
- Health & resource access: 52.4/100
- Environmental quality: 56.8/100
- Safety index: 70.8/100

**Year-over-Year Change:** +3.1 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
10001,Orange County,DE,"## Orange County, Delaware

**Overall Score: 64.5/100 (Moderate)**

Orange County shows solid fundamentals with room for targeted improvement. With a population of 854,305 and 70 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 67.0/100
- Health & resource access: 60.2/100
- Environmental quality: 74.9/100
- Safety index: 58.8/100

**Year-over-Year Change:** -0.3 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-29T23:12:38.028607
10002,Lee County,DE,"## Lee County, Delaware

**Overall Score: 48.7/100 (At Risk)**

Lee County faces notable challenges that require coordinated intervention. With a population of 588,097 and 22 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 59.9/100
- Health & resource access: 51.7/100
- Environmental quality: 47.9/100
- Safety index: 51.2/100

**Year-over-Year Change:** +1.6 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-29T23:12:38.028607
10003,Scott County,DE,"## Scott County, Delaware

**Overall Score: 53.1/100 (Moderate)**

Scott County shows solid fundamentals with room for targeted improvement. With a population of 895,204 and 9 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 47.8/100
- Health & resource access: 45.9/100
- Environmental quality: 48.8/100
- Safety index: 37.9/100

**Year-over-Year Change:** +1.0 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-29T23:12:38.028607
10004,Douglas County,DE,"## Douglas County, Delaware

**Overall Score: 54.8/100 (Moderate)**

Douglas County shows solid fundamentals with room for targeted improvement. With a population of 586,478 and 57 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 55.5/100
- Health & resource access: 54.7/100
- Environmental quality: 43.1/100
- Safety index: 53.9/100

**Year-over-Year Change:** +6.2 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
12001,Fulton County,FL,"## Fulton County, Florida

**Overall Score: 74.2/100 (Moderate)**

Fulton County shows solid fundamentals with room for targeted improvement. With a population of 458,664 and 19 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 70.0/100
- Health & resource access: 73.8/100
- Environmental quality: 77.2/100
- Safety index: 68.1/100

**Year-over-Year Change:** +3.8 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-29T23:12:38.028607
12002,Hancock County,FL,"## Hancock County, Florida

**Overall Score: 88.2/100 (Thriving)**

Hancock County continues to demonstrate strong outcomes across all pillars. With a population of 378,858 and 74 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 79.5/100
- Health & resource access: 95.3/100
- Environmental quality: 91.3/100
- Safety index: 83.9/100

**Year-over-Year Change:** -4.2 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-22T23:12:38.028607
12003,Knox County,FL,"## Knox County, Florida

**Overall Score: 48.1/100 (At Risk)**

Knox County faces notable challenges that require coordinated intervention. With a population of 932,231 and 55 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 44.9/100
- Health & resource access: 64.2/100
- Environmental quality: 41.4/100
- Safety index: 60.7/100

**Year-over-Year Change:** -0.5 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-24T23:12:38.028607
12004,Logan County,FL,"## Logan County, Florida

**Overall Score: 38.0/100 (At Risk)**

Logan County faces notable challenges that require coordinated intervention. With a population of 833,622 and 16 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 54.1/100
- Health & resource access: 42.5/100
- Environmental quality: 22.0/100
- Safety index: 40.1/100

**Year-over-Year Change:** -2.1 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-23T23:12:38.028607
13001,Putnam County,GA,"## Putnam County, Georgia

**Overall Score: 43.8/100 (At Risk)**

Putnam County faces notable challenges that require coordinated intervention. With a population of 241,752 and 6 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 44.8/100
- Health & resource access: 49.9/100
- Environmental quality: 40.7/100
- Safety index: 49.9/100

**Year-over-Year Change:** -5.9 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-29T23:12:38.028607
13002,Russell County,GA,"## Russell County, Georgia

**Overall Score: 52.1/100 (Moderate)**

Russell County shows solid fundamentals with room for targeted improvement. With a population of 892,642 and 71 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 55.0/100
- Health & resource access: 51.4/100
- Environmental quality: 44.8/100
- Safety index: 41.5/100

**Year-over-Year Change:** +0.2 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-27T23:12:38.028607
13003,Randolph County,GA,"## Randolph County, Georgia

**Overall Score: 60.8/100 (Moderate)**

Randolph County shows solid fundamentals with room for targeted improvement. With a population of 370,479 and 43 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 56.5/100
- Health & resource access: 33.7/100
- Environmental quality: 49.3/100
- Safety index: 70.0/100

**Year-over-Year Change:** +1.6 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-26T23:12:38.028607
13004,Crawford County,GA,"## Crawford County, Georgia

**Overall Score: 75.4/100 (Thriving)**

Crawford County continues to demonstrate strong outcomes across all pillars. With a population of 853,687 and 71 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 86.8/100
- Health & resource access: 74.5/100
- Environmental quality: 79.0/100
- Safety index: 67.6/100

**Year-over-Year Change:** +2.2 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-28T23:12:38.028607
15001,Fayette County,HI,"## Fayette County, Hawaii

**Overall Score: 57.2/100 (Moderate)**

Fayette County shows solid fundamentals with room for targeted improvement. With a population of 703,612 and 18 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 52.0/100
- Health & resource access: 33.1/100
- Environmental quality: 67.4/100
- Safety index: 65.8/100

**Year-over-Year Change:** -1.8 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-29T23:12:38.028607
15002,Delaware County,HI,"## Delaware County, Hawaii

**Overall Score: 52.8/100 (Moderate)**

Delaware County shows solid fundamentals with room for targeted improvement. With a population of 405,562 and 25 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 60.4/100
- Health & resource access: 43.9/100
- Environmental quality: 58.1/100
- Safety index: 57.9/100

**Year-over-Year Change:** +3.1 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-23T23:12:38.028607
15003,Harrison County,HI,"## Harrison County, Hawaii

**Overall Score: 57.6/100 (Moderate)**

Harrison County shows solid fundamentals with room for targeted improvement. With a population of 495,575 and 59 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 57.6/100
- Health & resource access: 53.2/100
- Environmental quality: 67.9/100
- Safety index: 48.7/100

**Year-over-Year Change:** -2.0 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
15004,Howard County,HI,"## Howard County, Hawaii

**Overall Score: 28.3/100 (At Risk)**

Howard County faces notable challenges that require coordinated intervention. With a population of 671,686 and 45 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 31.2/100
- Health & resource access: 28.0/100
- Environmental quality: 24.0/100
- Safety index: 35.6/100

**Year-over-Year Change:** +2.6 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-29T23:12:38.028607
16001,Johnson County,ID,"## Johnson County, Idaho

**Overall Score: 56.1/100 (Moderate)**

Johnson County shows solid fundamentals with room for targeted improvement. With a population of 648,967 and 12 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 63.0/100
- Health & resource access: 56.1/100
- Environmental quality: 52.4/100
- Safety index: 75.4/100

**Year-over-Year Change:** +3.4 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-22T23:12:38.028607
16002,Mercer County,ID,"## Mercer County, Idaho

**Overall Score: 35.2/100 (At Risk)**

Mercer County faces notable challenges that require coordinated intervention. With a population of 944,021 and 16 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 29.4/100
- Health & resource access: 25.7/100
- Environmental quality: 42.2/100
- Safety index: 41.6/100

**Year-over-Year Change:** +4.8 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-22T23:12:38.028607
16003,Noble County,ID,"## Noble County, Idaho

**Overall Score: 62.2/100 (Moderate)**

Noble County shows solid fundamentals with room for targeted improvement. With a population of 147,816 and 62 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 50.6/100
- Health & resource access: 47.8/100
- Environmental quality: 65.7/100
- Safety index: 65.3/100

**Year-over-Year Change:** -0.4 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-27T23:12:38.028607
16004,Owen County,ID,"## Owen County, Idaho

**Overall Score: 26.7/100 (At Risk)**

Owen County faces notable challenges that require coordinated intervention. With a population of 878,914 and 73 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 15.7/100
- Health & resource access: 35.4/100
- Environmental quality: 19.9/100
- Safety index: 25.1/100

**Year-over-Year Change:** -3.6 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-23T23:12:38.028607
17001,Ripley County,IL,"## Ripley County, Illinois

**Overall Score: 64.9/100 (Moderate)**

Ripley County shows solid fundamentals with room for targeted improvement. With a population of 516,136 and 33 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 58.2/100
- Health & resource access: 63.1/100
- Environmental quality: 48.6/100
- Safety index: 62.8/100

**Year-over-Year Change:** +6.5 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-27T23:12:38.028607
17002,Spencer County,IL,"## Spencer County, Illinois

**Overall Score: 52.5/100 (Moderate)**

Spencer County shows solid fundamentals with room for targeted improvement. With a population of 735,659 and 22 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 58.7/100
- Health & resource access: 45.2/100
- Environmental quality: 63.7/100
- Safety index: 55.8/100

**Year-over-Year Change:** +2.4 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-27T23:12:38.028607
17003,Stark County,IL,"## Stark County, Illinois

**Overall Score: 40.4/100 (At Risk)**

Stark County faces notable challenges that require coordinated intervention. With a population of 620,451 and 5 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 45.8/100
- Health & resource access: 32.5/100
- Environmental quality: 44.5/100
- Safety index: 27.0/100

**Year-over-Year Change:** +4.2 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-24T23:12:38.028607
17004,Taylor County,IL,"## Taylor County, Illinois

**Overall Score: 53.9/100 (Moderate)**

Taylor County shows solid fundamentals with room for targeted improvement. With a population of 447,375 and 71 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 54.5/100
- Health & resource access: 41.9/100
- Environmental quality: 67.0/100
- Safety index: 64.4/100

**Year-over-Year Change:** -6.4 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
18001,Wabash County,IN,"## Wabash County, Indiana

**Overall Score: 46.1/100 (At Risk)**

Wabash County faces notable challenges that require coordinated intervention. With a population of 720,131 and 54 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 42.7/100
- Health & resource access: 46.2/100
- Environmental quality: 56.6/100
- Safety index: 52.4/100

**Year-over-Year Change:** +1.1 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-27T23:12:38.028607
18002,Washington County,IN,"## Washington County, Indiana

**Overall Score: 88.4/100 (Thriving)**

Washington County continues to demonstrate strong outcomes across all pillars. With a population of 96,025 and 57 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 77.5/100
- Health & resource access: 65.1/100
- Environmental quality: 85.2/100
- Safety index: 79.8/100

**Year-over-Year Change:** -2.3 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-22T23:12:38.028607
18003,Jefferson County,IN,"## Jefferson County, Indiana

**Overall Score: 67.0/100 (Moderate)**

Jefferson County shows solid fundamentals with room for targeted improvement. With a population of 796,539 and 56 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 69.4/100
- Health & resource access: 67.1/100
- Environmental quality: 75.8/100
- Safety index: 67.5/100

**Year-over-Year Change:** -2.9 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-26T23:12:38.028607
18004,Franklin County,IN,"## Franklin County, Indiana

**Overall Score: 71.3/100 (Moderate)**

Franklin County shows solid fundamentals with room for targeted improvement. With a population of 691,414 and 8 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 72.5/100
- Health & resource access: 78.6/100
- Environmental quality: 72.3/100
- Safety index: 64.1/100

**Year-over-Year Change:** -4.4 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
19001,Lincoln County,IA,"## Lincoln County, Iowa

**Overall Score: 57.9/100 (Moderate)**

Lincoln County shows solid fundamentals with room for targeted improvement. With a population of 236,552 and 62 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 59.4/100
- Health & resource access: 58.9/100
- Environmental quality: 62.7/100
- Safety index: 53.5/100

**Year-over-Year Change:** -3.4 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-25T23:12:38.028607
19002,Madison County,IA,"## Madison County, Iowa

**Overall Score: 66.5/100 (Moderate)**

Madison County shows solid fundamentals with room for targeted improvement. With a population of 121,349 and 77 public schools, the county ranks in the top half nationally.

**Key Findings:**
- Education score: 76.0/100
- Health & resource access: 64.4/100
- Environmental quality: 63.0/100
- Safety index: 74.1/100

**Year-over-Year Change:** -7.7 points

**Recommendation:** Maintain current programs and share best practices with neighboring counties.",2026-03-22T23:12:38.028607
19003,Jackson County,IA,"## Jackson County, Iowa

**Overall Score: 41.5/100 (At Risk)**

Jackson County faces notable challenges that require coordinated intervention. With a population of 665,711 and 34 public schools, the county ranks in the bottom half nationally.

**Key Findings:**
- Education score: 23.4/100
- Health & resource access: 26.8/100
- Environmental quality: 51.1/100
- Safety index: 51.0/100

**Year-over-Year Change:** +3.0 points

**Recommendation:** Prioritize funding for health infrastructure and school resource programs. Coordinate with state agencies for environmental remediation.",2026-03-27T23:12:38.028607
