nces_id,year,state,county_fips,composite_score,education_score,health_score,environment_score,safety_score
340044955,2024,NJ,34004,94.9,100.0,100.0,87.9,85.0
510021693,2022,VA,51002,95.4,90.7,95.9,96.2,94.3
510021693,2023,VA,51002,94.5,91.8,93.6,94.8,85.7
510021693,2024,VA,51002,89.9,86.3,93.6,92.8,91.9
230023755,2022,ME,23002,89.2,93.4,96.6,97.7,89.7
230023755,2023,ME,23002,87.4,99.9,100.0,97.2,88.0
230023755,2024,ME,23002,89.9,100.0,97.4,98.1,89.4
260048648,2022,MI,26004,90.5,100.0,94.3,97.0,80.4
260048648,2023,MI,26004,95.1,98.1,100.0,99.7,91.2
260048648,2024,MI,26004,91.8,100.0,100.0,99.5,88.5
530029523,2022,WA,53002,92.9,92.0,81.9,90.9,100.0
530029523,2023,WA,53002,92.1,87.6,83.1,90.2,100.0
530029523,2024,WA,53002,91.6,84.8,80.3,89.9,98.1
280025667,2022,MS,28002,91.0,89.0,100.0,100.0,81.4
280025667,2023,MS,28002,95.9,85.8,100.0,99.4,79.4
280025667,2024,MS,28002,93.8,87.8,98.1,99.4,79.3
190017109,2022,IA,19001,94.6,88.8,97.1,100.0,79.8
190017109,2023,IA,19001,91.3,84.6,100.0,98.7,88.1
190017109,2024,IA,19001,92.0,81.8,100.0,100.0,79.9
240049773,2022,MD,24004,84.4,81.2,86.6,93.8,76.9
240049773,2023,MD,24004,92.9,86.9,89.8,95.3,75.6
240049773,2024,MD,24004,93.2,82.9,91.9,94.3,75.0
250032199,2022,MA,25003,94.9,100.0,86.3,100.0,89.0
250032199,2023,MA,25003,90.6,97.6,83.9,100.0,89.7
250032199,2024,MA,25003,91.3,100.0,78.1,100.0,83.7
160046640,2022,ID,16004,86.5,77.0,97.9,89.1,94.6
160046640,2023,ID,16004,89.0,75.3,100.0,91.7,91.5
160046640,2024,ID,16004,86.7,73.0,99.2,90.7,93.5
420023509,2022,PA,42002,87.4,89.3,91.2,92.8,97.4
420023509,2023,PA,42002,90.0,91.4,86.6,91.8,91.7
420023509,2024,PA,42002,88.3,94.4,87.2,85.3,93.8
420037688,2022,PA,42003,89.6,77.4,96.3,83.2,91.2
420037688,2023,PA,42003,86.3,74.6,96.5,85.1,89.7
420037688,2024,PA,42003,87.5,78.2,91.3,85.4,94.9
300034253,2022,MT,30003,85.9,85.1,92.7,81.7,83.0
300034253,2023,MT,30003,91.5,94.2,99.5,84.1,86.0
300034253,2024,MT,30003,87.6,91.7,98.4,84.7,80.4
380049719,2022,ND,38004,88.4,94.5,76.8,91.7,98.3
380049719,2023,ND,38004,94.2,92.9,77.1,90.3,93.1
380049719,2024,ND,38004,86.3,86.5,80.6,88.8,90.7
490019930,2022,UT,49001,88.8,98.5,91.6,87.1,87.5
490019930,2023,UT,49001,86.8,97.0,86.4,84.5,89.8
490019930,2024,UT,49001,86.1,100.0,87.3,80.5,87.2
330024876,2022,NH,33002,90.3,92.7,74.3,89.5,85.4
330024876,2023,NH,33002,89.2,92.0,78.0,89.9,83.9
330024876,2024,NH,33002,87.4,88.3,80.5,94.2,87.3
410046763,2022,OR,41004,88.7,100.0,96.6,79.3,85.6
410046763,2023,OR,41004,83.8,98.6,95.5,80.4,90.3
410046763,2024,OR,41004,92.1,99.0,100.0,79.9,99.4
230039750,2022,ME,23003,84.0,87.2,87.0,94.3,86.8
230039750,2023,ME,23003,89.1,87.8,90.2,100.0,91.3
230039750,2024,ME,23003,86.5,83.1,91.1,96.4,93.4
330034731,2022,NH,33003,93.3,92.7,87.0,80.5,81.5
330034731,2023,NH,33003,87.7,88.7,78.7,80.1,81.2
330034731,2024,NH,33003,87.7,92.9,82.2,81.5,83.8
340036596,2022,NJ,34003,88.4,77.3,90.4,90.4,87.9
340036596,2023,NJ,34003,90.8,81.4,95.9,88.0,85.6
340036596,2024,NJ,34003,87.5,77.8,96.2,86.8,84.2
360049306,2022,NY,36004,87.9,73.5,99.2,93.3,100.0
360049306,2023,NY,36004,84.2,65.5,86.4,86.7,100.0
360049306,2024,NY,36004,86.5,66.8,92.2,88.8,100.0
230017086,2022,ME,23001,84.4,91.6,88.5,80.6,88.6
230017086,2023,ME,23001,93.4,94.6,90.9,85.3,93.7
230017086,2024,ME,23001,84.5,93.5,89.9,82.0,92.3
330048843,2022,NH,33004,86.0,77.7,79.4,91.4,84.2
330048843,2023,NH,33004,85.0,80.8,77.6,92.3,83.2
330048843,2024,NH,33004,86.0,78.6,80.2,93.2,81.5
240012584,2022,MD,24001,87.9,77.1,90.9,78.0,85.9
240012584,2023,MD,24001,90.6,84.7,86.5,79.3,87.6
240012584,2024,MD,24001,91.0,83.0,89.9,79.1,83.7
160033932,2022,ID,16003,86.0,97.9,82.4,72.0,95.8
160033932,2023,ID,16003,88.0,96.5,93.4,77.7,99.7
160033932,2024,ID,16003,87.3,93.6,81.8,76.0,100.0
310042989,2022,NE,31004,93.5,81.3,88.3,86.3,100.0
310042989,2023,NE,31004,86.1,82.5,81.7,80.1,96.5
310042989,2024,NE,31004,86.5,85.9,85.3,78.1,94.3
090042343,2022,CT,09004,89.0,78.0,77.4,74.2,74.1
090042343,2023,CT,09004,84.9,72.1,70.6,76.0,72.2
090042343,2024,CT,09004,85.4,76.7,75.4,73.9,70.3
010023948,2022,AL,01002,84.3,96.7,87.7,79.4,82.7
010023948,2023,AL,01002,88.7,98.8,88.2,82.6,87.5
010023948,2024,AL,01002,88.9,100.0,89.1,81.8,91.2
230035739,2022,ME,23003,82.9,86.0,86.9,100.0,84.9
230035739,2023,ME,23003,90.4,85.8,91.3,98.6,85.3
230035739,2024,ME,23003,86.4,84.4,91.4,100.0,83.9
550017913,2022,WI,55001,85.2,78.0,78.6,91.8,92.0
550017913,2023,WI,55001,85.2,81.0,73.2,90.3,96.7
550017913,2024,WI,55001,81.7,78.1,74.9,90.7,100.0
530032198,2022,WA,53003,90.1,66.0,74.9,79.1,88.0
530032198,2023,WA,53003,83.2,70.7,73.5,75.6,92.0
530032198,2024,WA,53003,83.4,61.8,75.8,74.7,97.1
510041702,2022,VA,51004,88.4,82.9,84.0,86.7,89.9
510041702,2023,VA,51004,84.0,83.1,80.2,83.6,90.6
510041702,2024,VA,51004,80.7,85.2,77.4,85.6,88.4
340022875,2022,NJ,34002,87.7,91.4,84.9,91.0,76.9
340022875,2023,NJ,34002,83.7,89.2,85.3,92.8,81.9
340022875,2024,NJ,34002,83.3,88.6,78.7,92.5,79.2
060027581,2022,CA,06002,81.4,91.7,86.0,91.2,70.1
060027581,2023,CA,06002,87.7,86.1,85.5,92.4,66.7
060027581,2024,CA,06002,79.5,82.9,76.2,89.7,73.0
080021645,2022,CO,08002,81.1,72.9,79.1,82.0,92.9
080021645,2023,CO,08002,83.8,78.3,79.9,79.3,89.6
080021645,2024,CO,08002,83.7,76.7,82.0,80.8,92.9
190012515,2022,IA,19001,80.1,94.7,69.4,60.9,83.0
190012515,2023,IA,19001,83.6,92.3,73.8,64.8,90.1
190012515,2024,IA,19001,81.3,94.5,66.4,62.8,90.5
040021040,2022,AZ,04002,85.8,86.5,74.0,83.7,85.7
040021040,2023,AZ,04002,82.1,74.3,73.7,84.4,81.2
040021040,2024,AZ,04002,79.9,83.5,70.6,85.9,82.2
330016558,2022,NH,33001,85.3,86.8,90.9,99.7,76.5
330016558,2023,NH,33001,86.1,86.1,88.8,97.5,69.1
330016558,2024,NH,33001,84.3,78.6,90.1,96.2,68.5
440031401,2022,RI,44003,84.6,85.8,80.6,80.1,81.7
440031401,2023,RI,44003,89.7,84.0,84.2,76.4,75.0
440031401,2024,RI,44003,83.1,83.9,81.0,82.6,76.4
170028353,2022,IL,17002,82.7,69.3,77.1,89.0,89.3
170028353,2023,IL,17002,84.6,72.9,78.7,88.0,95.4
170028353,2024,IL,17002,81.2,75.1,78.0,90.8,93.8
270016623,2022,MN,27001,79.6,88.1,100.0,79.1,89.9
270016623,2023,MN,27001,81.1,85.8,90.6,74.3,88.2
270016623,2024,MN,27001,82.8,92.3,89.5,82.4,92.9
310012694,2022,NE,31001,85.4,97.4,95.2,82.9,100.0
310012694,2023,NE,31001,84.7,97.3,89.1,80.4,96.7
310012694,2024,NE,31001,85.1,89.4,88.7,80.7,95.0
250041719,2022,MA,25004,85.1,100.0,62.2,71.8,77.4
250041719,2023,MA,25004,81.8,99.2,52.0,68.5,77.8
250041719,2024,MA,25004,81.8,100.0,63.0,69.9,83.8
160021067,2022,ID,16002,76.2,76.6,72.3,77.1,79.4
160021067,2023,ID,16002,82.2,88.3,76.2,79.2,79.9
160021067,2024,ID,16002,79.2,85.0,80.6,76.7,81.3
410039978,2022,OR,41003,84.4,100.0,71.6,87.6,88.2
410039978,2023,OR,41003,84.7,99.3,68.4,83.4,89.3
410039978,2024,OR,41003,81.8,100.0,63.0,87.4,82.0
510049287,2022,VA,51004,79.1,75.7,86.4,76.5,69.9
510049287,2023,VA,51004,79.2,82.5,81.6,73.6,75.3
510049287,2024,VA,51004,83.4,74.6,85.9,75.2,70.7
270044156,2022,MN,27004,86.2,85.8,88.7,92.3,94.9
270044156,2023,MN,27004,78.7,81.4,82.2,85.7,93.8
270044156,2024,MN,27004,79.6,79.1,83.6,84.1,89.4
390026358,2022,OH,39002,80.1,80.6,61.0,80.7,80.4
390026358,2023,OH,39002,76.0,75.8,61.3,74.2,79.1
390026358,2024,OH,39002,81.5,78.9,60.1,79.4,84.5
410039669,2022,OR,41003,81.7,64.2,91.1,95.7,84.0
410039669,2023,OR,41003,81.3,64.7,88.3,94.4,87.8
410039669,2024,OR,41003,82.8,63.8,86.3,96.9,82.2
020043838,2022,AK,02004,84.4,63.0,77.1,84.9,76.2
020043838,2023,AK,02004,82.5,67.0,73.5,83.7,72.8
020043838,2024,AK,02004,81.4,59.0,76.7,81.5,73.6
480046356,2022,TX,48004,79.1,91.8,77.1,81.5,85.7
480046356,2023,TX,48004,78.9,95.2,83.6,81.6,80.8
480046356,2024,TX,48004,82.1,84.5,75.7,80.7,89.1
050017164,2022,AR,05001,80.5,92.7,84.3,71.4,76.3
050017164,2023,AR,05001,79.8,92.0,92.5,76.3,73.3
050017164,2024,AR,05001,82.3,95.7,88.6,75.4,75.4
450018348,2022,SC,45001,85.4,91.1,84.3,87.7,86.5
450018348,2023,SC,45001,83.4,92.1,79.4,84.9,76.1
450018348,2024,SC,45001,83.2,88.8,76.0,85.6,84.8
020048037,2022,AK,02004,78.3,86.3,84.3,84.4,70.2
020048037,2023,AK,02004,78.9,93.9,80.3,90.1,78.1
020048037,2024,AK,02004,83.3,95.1,81.6,92.5,73.8
270015593,2022,MN,27001,77.0,90.4,96.3,65.7,80.4
270015593,2023,MN,27001,77.9,88.8,88.5,63.9,78.2
270015593,2024,MN,27001,79.9,83.8,100.0,64.1,81.6
260023644,2022,MI,26002,77.9,64.1,84.2,86.2,75.3
260023644,2023,MI,26002,80.8,72.0,89.2,90.1,78.0
260023644,2024,MI,26002,78.7,67.1,80.9,87.1,77.8
330036666,2022,NH,33003,86.3,85.9,78.5,74.9,78.3
330036666,2023,NH,33003,84.0,88.0,73.0,74.8,70.0
330036666,2024,NH,33003,82.9,81.6,72.1,74.8,75.5
420036341,2022,PA,42003,80.0,74.3,80.7,72.7,68.3
420036341,2023,PA,42003,80.4,79.7,86.1,70.3,66.2
420036341,2024,PA,42003,81.6,73.7,81.3,72.5,65.3
050028404,2022,AR,05002,82.6,88.0,81.5,88.1,85.7
050028404,2023,AR,05002,80.5,82.0,77.3,82.8,81.3
050028404,2024,AR,05002,78.5,86.3,76.6,83.9,80.1
420014653,2022,PA,42001,85.0,79.7,77.5,76.6,83.6
420014653,2023,PA,42001,77.4,72.2,76.2,70.3,72.1
420014653,2024,PA,42001,80.4,72.3,80.5,76.8,76.3
510029656,2022,VA,51002,82.2,74.0,89.8,96.6,74.8
510029656,2023,VA,51002,80.5,73.3,95.0,100.0,72.5
510029656,2024,VA,51002,80.3,71.6,96.9,100.0,70.1
360019557,2022,NY,36001,80.6,84.0,79.8,87.9,86.7
360019557,2023,NY,36001,79.8,87.7,84.6,84.9,87.5
360019557,2024,NY,36001,80.1,94.4,79.9,86.3,89.7
170033438,2022,IL,17003,78.9,80.4,81.7,69.8,68.9
170033438,2023,IL,17003,77.9,82.1,81.3,71.2,73.0
170033438,2024,IL,17003,83.2,79.9,82.2,71.3,72.5
240025939,2022,MD,24002,83.8,90.0,80.8,93.5,82.1
240025939,2023,MD,24002,80.4,91.3,76.3,94.8,77.6
240025939,2024,MD,24002,84.9,88.9,76.9,90.9,80.9
220037799,2022,LA,22003,81.4,69.2,97.5,81.9,75.9
220037799,2023,LA,22003,79.0,70.5,88.4,78.0,76.3
220037799,2024,LA,22003,83.7,76.9,87.7,78.2,74.4
180023617,2022,IN,18002,81.4,86.8,87.3,82.7,87.0
180023617,2023,IN,18002,77.0,89.7,87.6,80.3,79.3
180023617,2024,IN,18002,77.1,87.1,81.6,79.4,80.4
350012965,2022,NM,35001,74.4,74.9,80.2,70.8,84.1
350012965,2023,NM,35001,78.2,71.9,77.3,68.1,77.1
350012965,2024,NM,35001,75.6,75.9,80.9,70.0,84.5
200046143,2022,KS,20004,82.4,72.7,74.4,84.3,80.0
200046143,2023,KS,20004,80.5,76.8,83.4,82.7,80.9
200046143,2024,KS,20004,75.0,70.5,87.4,81.8,76.9
500042532,2022,VT,50004,81.2,94.2,73.9,75.6,91.8
500042532,2023,VT,50004,75.7,95.9,78.8,79.7,84.1
500042532,2024,VT,50004,81.3,94.6,78.9,75.2,75.5
530011778,2022,WA,53001,77.5,85.0,86.1,100.0,82.1
530011778,2023,WA,53001,77.9,78.3,92.7,96.3,73.8
530011778,2024,WA,53001,78.4,80.9,86.4,92.5,74.2
270033110,2022,MN,27003,76.2,76.4,75.0,86.1,59.1
270033110,2023,MN,27003,78.4,75.9,74.6,86.9,63.1
270033110,2024,MN,27003,78.4,74.8,72.4,92.3,65.6
340016259,2022,NJ,34001,81.7,80.6,85.9,76.1,100.0
340016259,2023,NJ,34001,76.0,75.6,78.0,74.7,91.3
340016259,2024,NJ,34001,81.1,77.6,80.7,73.8,93.2
560036615,2022,WY,56003,79.6,82.6,67.6,100.0,81.3
560036615,2023,WY,56003,77.8,86.3,63.2,100.0,81.6
560036615,2024,WY,56003,80.0,89.1,69.1,99.6,80.7
190042581,2022,IA,19004,75.4,51.6,87.0,70.6,87.8
190042581,2023,IA,19004,80.9,56.9,83.4,78.0,84.3
190042581,2024,IA,19004,79.4,57.5,88.2,78.2,81.7
210045635,2022,KY,21004,77.6,85.8,83.5,87.7,79.5
210045635,2023,KY,21004,80.9,92.8,86.1,89.7,73.9
210045635,2024,KY,21004,77.9,90.6,85.5,93.8,79.6
530043247,2022,WA,53004,81.6,82.6,84.2,82.1,78.4
530043247,2023,WA,53004,76.8,79.4,75.9,75.4,81.9
530043247,2024,WA,53004,76.0,82.2,79.8,76.9,79.0
310018030,2022,NE,31001,78.4,88.1,58.9,77.5,78.6
310018030,2023,NE,31001,78.1,88.6,60.9,80.6,79.3
310018030,2024,NE,31001,74.3,89.2,61.1,79.3,84.7
220049527,2022,LA,22004,80.3,80.6,71.6,75.7,80.9
220049527,2023,LA,22004,79.3,78.3,68.9,78.4,83.8
220049527,2024,LA,22004,79.3,78.9,73.7,76.8,80.9
240035909,2022,MD,24003,77.6,78.0,69.4,69.3,86.5
240035909,2023,MD,24003,76.4,69.0,77.4,71.0,76.5
240035909,2024,MD,24003,74.7,70.5,70.8,71.8,76.1
370032253,2022,NC,37003,76.6,75.3,76.6,81.0,86.0
370032253,2023,NC,37003,76.9,74.1,80.3,81.1,81.3
370032253,2024,NC,37003,77.9,68.1,77.8,79.8,89.7
550038201,2022,WI,55003,77.1,69.9,95.1,72.1,78.2
550038201,2023,WI,55003,81.2,71.8,97.3,78.1,78.5
550038201,2024,WI,55003,73.6,67.7,94.6,74.4,90.6
340043895,2022,NJ,34004,71.9,68.3,84.3,69.9,70.0
340043895,2023,NJ,34004,76.8,67.8,82.0,70.5,77.4
340043895,2024,NJ,34004,80.8,64.2,83.3,68.1,74.5
170041604,2022,IL,17004,76.6,78.1,93.5,67.3,85.9
170041604,2023,IL,17004,75.7,75.8,92.4,66.0,84.7
170041604,2024,IL,17004,78.1,79.0,91.0,68.0,90.1
350032679,2022,NM,35003,77.3,76.4,75.3,69.2,62.4
350032679,2023,NM,35003,76.0,82.6,78.2,69.4,65.0
350032679,2024,NM,35003,79.7,83.1,78.1,69.2,63.4
080019524,2022,CO,08001,80.2,98.0,80.8,78.3,81.6
080019524,2023,CO,08001,76.7,97.2,81.7,77.3,80.7
080019524,2024,CO,08001,76.1,97.7,77.9,78.5,79.1
170036759,2022,IL,17003,70.3,73.5,69.3,72.7,75.4
170036759,2023,IL,17003,74.8,70.1,73.8,74.2,82.0
170036759,2024,IL,17003,79.1,74.4,74.6,72.2,76.7
090023906,2022,CT,09002,77.8,94.4,77.8,91.8,78.2
090023906,2023,CT,09002,74.8,85.5,79.1,81.8,79.6
090023906,2024,CT,09002,75.4,85.4,72.8,86.3,76.2
380017697,2022,ND,38001,73.7,77.9,80.0,65.8,70.1
380017697,2023,ND,38001,75.0,80.3,79.8,70.6,73.4
380017697,2024,ND,38001,76.9,75.0,71.1,73.2,68.2
040023139,2022,AZ,04002,72.2,82.2,72.3,76.3,78.3
040023139,2023,AZ,04002,74.8,91.6,73.2,75.5,78.2
040023139,2024,AZ,04002,77.9,95.8,72.2,80.7,84.5
320048643,2022,NV,32004,75.6,71.4,73.7,74.9,67.9
320048643,2023,NV,32004,77.4,66.2,64.4,77.0,65.7
320048643,2024,NV,32004,73.9,65.0,70.1,72.7,67.3
560013287,2022,WY,56001,77.0,81.8,83.0,77.4,70.0
560013287,2023,WY,56001,73.0,76.6,81.1,79.3,69.4
560013287,2024,WY,56001,77.4,80.7,83.1,82.3,68.7
330041750,2022,NH,33004,77.8,75.8,66.6,69.8,71.0
330041750,2023,NH,33004,76.3,74.4,71.1,69.5,74.3
330041750,2024,NH,33004,80.0,74.8,71.0,70.0,73.3
220035382,2022,LA,22003,73.7,66.7,87.3,73.8,59.0
220035382,2023,LA,22003,75.2,75.9,92.9,72.3,60.8
220035382,2024,LA,22003,76.5,73.9,90.8,71.6,63.2
320026002,2022,NV,32002,73.7,70.7,74.5,77.1,87.5
320026002,2023,NV,32002,77.4,80.9,69.7,76.7,89.2
320026002,2024,NV,32002,72.1,71.8,72.9,79.3,92.6
160017782,2022,ID,16001,72.9,72.8,60.1,90.8,72.2
160017782,2023,ID,16001,77.7,78.2,66.9,93.0,78.3
160017782,2024,ID,16001,78.5,75.1,66.4,90.9,73.7
320023797,2022,NV,32002,78.9,91.5,49.5,70.7,81.6
320023797,2023,NV,32002,81.6,86.0,46.0,67.5,80.8
320023797,2024,NV,32002,75.2,88.9,50.8,67.7,75.1
540029391,2022,WV,54002,73.9,65.1,85.6,78.0,92.0
540029391,2023,WV,54002,78.1,65.0,85.7,78.7,93.0
540029391,2024,WV,54002,71.7,74.2,88.4,78.8,93.1
040013281,2022,AZ,04001,76.8,100.0,75.2,90.7,84.1
040013281,2023,AZ,04001,73.8,97.9,71.7,87.1,81.9
040013281,2024,AZ,04001,78.4,100.0,72.5,90.2,86.3
410044387,2022,OR,41004,76.0,68.0,81.1,68.5,78.9
410044387,2023,OR,41004,74.1,62.0,77.7,74.5,79.3
410044387,2024,OR,41004,75.0,71.4,81.8,71.3,72.7
040023161,2022,AZ,04002,74.1,84.1,72.8,60.5,72.0
040023161,2023,AZ,04002,73.8,72.8,71.6,62.1,72.4
040023161,2024,AZ,04002,74.1,85.2,73.7,61.8,73.7
340045726,2022,NJ,34004,68.0,60.3,96.6,74.7,79.8
340045726,2023,NJ,34004,77.0,66.0,95.3,76.6,85.4
340045726,2024,NJ,34004,73.9,65.2,95.3,79.6,86.5
450031366,2022,SC,45003,73.0,75.4,77.3,81.0,86.6
450031366,2023,SC,45003,77.5,67.0,74.3,74.0,80.2
450031366,2024,SC,45003,70.6,69.0,79.0,74.4,85.5
220038251,2022,LA,22003,75.9,80.5,62.8,64.8,75.8
220038251,2023,LA,22003,75.4,83.0,68.9,65.5,78.7
220038251,2024,LA,22003,77.6,82.1,64.6,66.7,77.7
510034950,2022,VA,51003,71.7,73.1,71.2,72.7,88.1
510034950,2023,VA,51003,72.5,78.0,70.2,77.6,85.5
510034950,2024,VA,51003,76.7,81.9,76.2,80.6,91.5
090046131,2022,CT,09004,74.3,67.3,65.5,81.7,66.1
090046131,2023,CT,09004,77.3,70.0,64.4,78.3,68.0
090046131,2024,CT,09004,76.2,68.0,64.4,84.8,64.9
200029301,2022,KS,20002,76.8,86.3,77.4,84.6,84.9
200029301,2023,KS,20002,76.8,76.0,85.0,82.6,78.9
200029301,2024,KS,20002,75.7,76.0,79.3,80.2,78.8
500015633,2022,VT,50001,75.1,69.5,70.8,69.2,75.2
500015633,2023,VT,50001,71.0,73.5,70.3,65.2,74.8
500015633,2024,VT,50001,75.4,64.8,67.6,68.1,75.6
350012453,2022,NM,35001,67.4,72.8,59.1,62.9,78.6
350012453,2023,NM,35001,73.7,83.8,60.0,66.0,77.5
350012453,2024,NM,35001,77.2,76.7,60.6,69.5,73.7
240016181,2022,MD,24001,74.7,70.4,78.7,80.6,78.5
240016181,2023,MD,24001,78.2,80.6,86.7,79.2,79.8
240016181,2024,MD,24001,77.2,79.1,81.2,79.3,79.4
250039985,2022,MA,25003,75.8,61.4,78.0,86.4,71.3
250039985,2023,MA,25003,76.3,61.3,74.0,76.8,72.2
250039985,2024,MA,25003,73.9,66.0,76.3,79.5,70.7
530017893,2022,WA,53001,74.3,78.5,82.7,87.8,64.9
530017893,2023,WA,53001,77.5,79.0,82.9,90.9,63.3
530017893,2024,WA,53001,76.6,82.6,88.3,85.1,64.5
270023418,2022,MN,27002,68.8,81.7,66.2,84.9,76.5
270023418,2023,MN,27002,74.4,86.2,74.9,81.0,83.8
270023418,2024,MN,27002,73.6,83.7,62.2,85.4,81.2
350026401,2022,NM,35002,72.5,65.7,60.3,64.4,61.2
350026401,2023,NM,35002,75.5,67.8,67.5,70.1,68.3
350026401,2024,NM,35002,72.9,63.2,64.1,70.4,63.8
250048010,2022,MA,25004,71.4,76.2,78.1,90.2,74.7
250048010,2023,MA,25004,70.5,74.8,74.9,86.0,73.2
250048010,2024,MA,25004,71.1,74.2,74.5,87.7,72.4
420015284,2022,PA,42001,73.7,72.5,76.5,77.5,78.9
420015284,2023,PA,42001,72.3,70.6,77.7,76.9,75.9
420015284,2024,PA,42001,73.3,74.3,75.8,78.3,80.7
460043281,2022,SD,46004,70.3,78.0,70.5,76.6,52.6
460043281,2023,SD,46004,73.4,90.6,72.1,83.7,67.2
460043281,2024,SD,46004,75.6,85.6,70.5,82.5,64.8
240041599,2022,MD,24004,71.5,66.3,85.6,71.2,65.8
240041599,2023,MD,24004,69.6,65.7,76.1,70.5,73.5
240041599,2024,MD,24004,73.2,69.0,78.2,71.7,68.4
500036717,2022,VT,50003,75.4,77.1,77.8,82.4,72.5
500036717,2023,VT,50003,73.0,77.9,77.8,80.6,75.1
500036717,2024,VT,50003,71.8,72.4,75.9,78.5,71.9
200047928,2022,KS,20004,65.6,69.0,65.2,67.6,60.5
200047928,2023,KS,20004,68.6,78.2,66.1,70.5,65.7
200047928,2024,KS,20004,73.4,79.3,72.0,70.1,63.4
410036656,2022,OR,41003,77.0,90.1,74.4,74.8,52.9
410036656,2023,OR,41003,74.5,97.4,77.5,77.0,52.3
410036656,2024,OR,41003,70.4,92.1,79.5,75.1,53.1
500043215,2022,VT,50004,76.8,63.8,85.3,80.5,77.3
500043215,2023,VT,50004,74.5,66.3,84.2,78.2,82.8
500043215,2024,VT,50004,70.2,60.4,84.8,76.2,84.4
530046206,2022,WA,53004,75.2,61.2,67.5,86.1,75.6
530046206,2023,WA,53004,70.9,69.2,65.1,86.9,71.5
530046206,2024,WA,53004,70.8,68.4,63.6,85.8,78.6
130031916,2022,GA,13003,66.7,64.0,61.8,69.9,66.2
130031916,2023,GA,13003,69.5,65.8,77.5,76.6,69.1
130031916,2024,GA,13003,76.1,67.9,72.2,71.5,65.6
460039594,2022,SD,46003,67.8,58.9,75.2,84.6,69.1
460039594,2023,SD,46003,71.9,56.7,79.1,86.1,64.4
460039594,2024,SD,46003,75.6,58.6,73.4,85.8,66.1
180038114,2022,IN,18003,75.7,76.5,55.4,79.3,75.9
180038114,2023,IN,18003,74.0,75.5,56.6,75.1,75.5
180038114,2024,IN,18003,73.7,72.4,55.4,80.4,82.2
220014458,2022,LA,22001,75.7,71.7,60.6,76.8,65.6
220014458,2023,LA,22001,71.5,79.4,61.4,77.1,67.7
220014458,2024,LA,22001,75.2,73.6,61.0,77.4,68.7
390037384,2022,OH,39003,74.6,76.3,84.6,83.4,84.4
390037384,2023,OH,39003,72.7,74.7,74.4,78.7,82.0
390037384,2024,OH,39003,73.1,73.5,81.1,82.4,83.3
450035379,2022,SC,45003,71.8,62.3,48.0,86.4,70.4
450035379,2023,SC,45003,73.5,57.4,47.5,81.0,66.3
450035379,2024,SC,45003,72.2,63.9,49.5,85.0,64.6
530037978,2022,WA,53003,72.3,62.8,70.2,79.3,57.2
530037978,2023,WA,53003,73.6,59.7,65.6,78.2,62.8
530037978,2024,WA,53003,72.7,54.1,65.1,78.9,63.4
150016901,2022,HI,15001,69.5,63.9,64.2,73.0,79.7
